Extension Type	Extension Area	Extension Action	App Name/Service/Function	Extension Name	Description	" Category (Original)"	" Order (Original)"
3rd Party App	Automation	Create	Typinator	Typinator	Create a Typinator expansion with the selected text.Requires Typinator v5.8 or newer.	"Other Apps"	"85"
3rd Party App	Automation	Launch	Alfred	Alfred	Activate Alfred 4 with the selected text.	"Launcher Utilities"	"75"
3rd Party App	Automation	Launch	LaunchBar	LaunchBar	Activate LaunchBar with the selected text.	"Launcher Utilities"	"76"
3rd Party App	Automation	Launch	Quicksilver	Quicksilver	Activate Quicksilver with the selected text.	"Launcher Utilities"	"77"
3rd Party App	Browser	Open	Brave	Open in Brave	Open the link in Brave.	"Work with URLs"	"147"
3rd Party App	Browser	Open	Chrome	Open in Chrome	Open the link in Google Chrome.	"Work with URLs"	"145"
3rd Party App	Browser	Open	Edge	Open in Edge	Open the link in Microsoft Edge.	"Work with URLs"	"149"
3rd Party App	Browser	Open	Firefox	Open in Firefox	Open the link in Mozilla Firefox.	"Work with URLs"	"146"
3rd Party App	Browser	Open	Opera	Open in Opera	Open the link in Opera.	"Work with URLs"	"148"
3rd Party App	Browser	Open	Vivaldi	Open in Vivaldi	Open the link in Vivaldi.	"Work with URLs"	"150"
3rd Party App	Calendar	Create	BusyCal	BusyCal	Use the text to create a calendar entry in BusyCal 3.	"Calendar Apps"	"69"
3rd Party App	Calendar	Create	Fantastical 2	Fantastical 2	Use the text to create a calendar entry in Fantastical 2.	"Calendar Apps"	"67"
3rd Party App	Calendar	Create	Fantastical 3	Fantastical 3	Use the text to create a calendar entry in Fantastical 3.	"Calendar Apps"	"68"
3rd Party App	Contacts	Create	BusyContacts	BusyContacts	Create a new contact in BusyContacts.	"Contacts Apps"	"71"
3rd Party App	Contacts	Create	Cardhop	Cardhop	Create a new contact using Cardhop	"Contacts Apps"	"70"
3rd Party App	Developers	Create	Quiver	Quiver	Send the selection to Quiver, the programmer's notebook.Updated for macOS Monterey 12.3	"For Developers"	"161"
3rd Party App	Developers	Create	SnippetsLab	SnippetsLab	Create a code snippet in SnippetsLab.	"For Developers"	"160"
3rd Party App	Developers	Search	Dash	Dash	Search developer documentation using Dash.	"For Developers"	"159"
3rd Party App	Developers	Search	DOI	DOI	Resolve a Digital Object Identifier (DOI) using doi.org.	"Other Searches"	"116"
